웹툰 ID,연재 요일,웹툰 명,작가,해시태그,관심수,회차,대표장르,웹툰명,요일,평균순위,요일최대순위,순위백분위,순위구간,분석회차수,초반구간회차수,별점_초반평균,별점_후반평균,별점_하락폭_pct,별점 참여 수_초반평균,별점 참여 수_후반평균,별점 참여 수_하락폭_pct,댓글_초반평균,댓글_후반평균,댓글_하락폭_pct,관심수대비별점_초반평균,관심수대비별점_후반평균,관심수대비별점_하락폭_pct,관심수대비별점참여자수_초반평균,관심수대비별점참여자수_후반평균,관심수대비별점참여자수_하락폭_pct,관심수대비댓글수_초반평균,관심수대비댓글수_후반평균,관심수대비댓글수_하락폭_pct
778578,일,위닝샷!,박대혁,#스포츠 #최애캐의SNS #열혈 #우정 #라이벌 #청춘 #성장물 #야구 #학원물 #스포츠성장,186604,총 173화,스포츠,위닝샷!,일,34.0,110,0.3090909090909091,중위 30~70%,173,35,9.961428571428574,9.890967741935484,0.70733659321903,5967.771428571428,1471.6774193548388,75.3395813333432,398.1714285714286,122.09677419354838,69.33562645827932,0.533684173466873,0.5299092300157234,0.7073365932190065,3.1972373635557925,0.7884521196196378,75.33958133334322,0.2133205977752572,0.06541342494323635,69.33562645827932
845508,일,하남자의 탑 공략법,Two-zero / 플랜에이 / 니콜로,#액션 #최애캐의SNS #먼치킨 #소설원작,64449,총 23화,액션,하남자의 탑 공략법,일,35.0,110,0.3181818181818182,중위 30~70%,23,5,9.918,,,2211.0,,,306.8,,,1.5315482257018433,,,3.414249976836839,,,0.4737638592915161,,
838262,목,김오진과 이상한 동물들,기선 / 셀,#판타지 #최애캐의SNS #개그 #힐링 #이세계 #동물,85156,총 51화,판타지,김오진과 이상한 동물들,목,36.0,114,0.3157894736842105,중위 30~70%,51,11,9.968181818181819,9.97,-0.018239854081168582,4343.545454545455,2358.909090909091,45.691621842231946,257.72727272727275,186.0909090909091,27.795414462081137,1.169617466287497,1.1698308028066557,-0.01823985408117537,5.096502774441432,2.7678279995647936,45.691621842231946,0.30240451590743755,0.21834992735891523,27.79541446208113
809625,목,시한부 천재 암흑기사,판테라 / 헤스 / 정선율,#판타지 #게임 #상태창 #마법 #악역이주인공 #아카데미물 #지금추천작 #게임판타지 #빙의 #먼치킨 #소설원작,192706,총 144화,판타지,시한부 천재 암흑기사,목,36.0,114,0.3157894736842105,중위 30~70%,144,29,9.72655172413793,9.924999999999999,-2.0402736909277763,6273.793103448276,1409.1666666666667,77.53884064343556,272.48275862068965,87.58333333333333,67.857293512191,0.5044342537450761,0.5147260931122647,-2.040273690927763,3.2536876706625706,0.7308159726724095,77.53884064343556,0.14131383958214597,0.04542209268354242,67.85729351219102
847782,금,이세계 영주가 밥을 잘 먹임,판테라 / 헤스 / 정선율,#판타지 #최애캐의SNS #판타지개그 #서양 #성장물 #힐링 #음식&요리 #소설원작,31779,총 12화,판타지,이세계 영주가 밥을 잘 먹임,금,36.0,117,0.3076923076923077,중위 30~70%,12,3,9.85,,,2305.6666666666665,,,202.66666666666666,,,3.073610634380753,,,7.194641204064863,,,0.6324044892397624,,
809618,화,신과함께 돌아온 기사왕님,지대공마법소년 / 크라켄 / 에르훗,#판타지 #최애캐의SNS #사이다 #현대판타지 #현대 #크리처 #용사 #회귀 #헌터물 #이세계 #인외존재 #먼치킨 #소설원작,143145,총 158화,판타지,신과함께 돌아온 기사왕님,화,36.333333333333336,118,0.307909604519774,중위 30~70%,158,32,8.205312499999998,9.884,-20.45854438816319,7940.375,1445.96,81.78977693119027,844.40625,178.52,78.85851744939121,0.5727686954215152,0.689948833215829,-20.45854438816317,5.542748347375696,1.0093468381998787,81.78977693119029,0.589434547700985,0.12461520204946354,78.85851744939121
848316,수,댄서,삼갱,#스포츠 #열혈 #우정 #라이벌 #미친작화 #요즘핫한추천작 #농구 #학원물 #소년왕도물 #스포츠성장,24038,총 10화,스포츠,댄서,수,36.333333333333336,115,0.3159420289855073,중위 30~70%,10,2,9.77,,,1134.5,,,194.5,,,3.9960734590371794,,,4.640271585749929,,,0.7955335596547917,,
841129,일,뒷골목 마법사의 회귀생활,하강호 / 김기백 / 흑야,#액션 #최애캐의SNS #사이다 #소년물 #아카데미물 #참교육 #회귀 #소설원작,68040,총 41화,액션,뒷골목 마법사의 회귀생활,일,36.5,110,0.33181818181818185,중위 30~70%,41,9,9.877777777777776,9.9,-0.22497187851520278,2594.0,816.0,68.54279105628373,169.11111111111111,61.666666666666664,63.53482260183969,1.445874054448787,1.4491268644700444,-0.22497187851520786,3.7970051378134286,1.1944318398056122,68.54279105628372,0.2475388426176663,0.0902654780898849,63.53482260183968
843473,목,폐급연애,이에내,#드라마 #최애캐의SNS #고자극드라마 #리얼로맨스 #블랙코미디 #공감 #청춘 #로맨스 #드라마 #하이퍼리얼리즘,20495,총 11화,드라마,폐급연애,목,36.666666666666664,114,0.3216374269005848,중위 30~70%,11,3,8.53,,,612.0,,,202.33333333333334,,,4.149034486113138,,,2.9767984824164597,,,0.9841594111257033,,
839386,금,고결하고 천박한 그대에게,LICO / 백묘,#로맨스 #최애캐의SNS #치명적인 #서양 #정치 #왕족/귀족 #공식미남 #유혹남 #능력녀 #요즘핫한추천작 #회귀 #복수극 #로판 #소설원작,83481,총 49화,로맨스,고결하고 천박한 그대에게,금,37.0,117,0.3162393162393162,중위 30~70%,49,10,9.895999999999999,9.92,-0.2425222312045363,2721.9,1313.4,51.74694147470517,152.8,133.2,12.827225130890065,1.1823319275021205,1.1851851851851853,-0.2413245905566365,3.252010179333086,1.5691756272401434,51.747517974807025,0.18255893140897742,0.15913978494623654,12.828266621629245
